Year,Month,usg_apt_id,usg_apt,usg_wac,fg_apt_id,fg_apt,fg_wac,airlineid,carrier,carriergroup,type,Scheduled,Charter,Total
2016,1,10135,ABE,23,16217,YUL,941,20448,S5,1,Passengers,48,0,48
2016,1,10158,ACY,21,16078,YHM,936,21477,1AQ,1,Passengers,28,0,28
2016,1,10185,AEX,72,14677,SAL,118,21161,09Q,1,Passengers,0,141,141
2016,1,10185,AEX,72,14677,SAL,118,20310,K8,1,Passengers,0,75,75
2016,1,10185,AEX,72,14739,SDQ,224,20310,K8,1,Passengers,0,139,139
2016,1,10299,ANC,1,13744,NRT,736,19531,AC,0,Passengers,205,0,205
2016,1,10299,ANC,1,14309,PVG,713,19977,UA,1,Passengers,258,0,258
2016,1,10299,ANC,1,16229,YVR,906,19531,AC,0,Passengers,205,0,205
2016,1,10299,ANC,1,16229,YVR,906,19977,UA,1,Passengers,127,0,127
2016,1,10325,APA,82,16229,YVR,906,21439,14Q,0,Passengers,0,12,12
2016,1,10329,APF,33,16271,YYZ,936,21437,13Q,0,Passengers,0,4,4
2016,1,10372,ASE,82,16257,YYC,916,21437,13Q,0,Passengers,0,9,9
2016,1,10397,ATL,34,10292,AMS,461,19790,DL,1,Passengers,32001,0,32001
2016,1,10397,ATL,34,10292,AMS,461,19551,KL,0,Passengers,27683,0,27683
2016,1,10397,ATL,34,10312,ANU,206,19790,DL,1,Passengers,2060,0,2060
2016,1,10397,ATL,34,10411,AUA,277,19790,DL,1,Passengers,11218,0,11218
2016,1,10397,ATL,34,10411,AUA,277,19393,WN,1,Passengers,26,0,26
2016,1,10397,ATL,34,10521,BDA,207,19790,DL,1,Passengers,3870,0,3870
2016,1,10397,ATL,34,10575,BGI,205,19790,DL,1,Passengers,2077,0,2077
2016,1,10397,ATL,34,10638,BJX,148,20366,EV,1,Passengers,3999,0,3999
2016,1,10397,ATL,34,10711,BOG,327,19790,DL,1,Passengers,10333,0,10333
2016,1,10397,ATL,34,10717,BON,260,19790,DL,1,Passengers,2994,0,2994
2016,1,10397,ATL,34,10752,BRU,409,19790,DL,1,Passengers,5912,0,5912
2016,1,10397,ATL,34,10846,BZE,106,19790,DL,1,Passengers,10226,0,10226
2016,1,10397,ATL,34,10911,CCS,388,19790,DL,1,Passengers,1224,0,1224
2016,1,10397,ATL,34,10920,CDG,427,19532,AF,0,Passengers,36829,0,36829
2016,1,10397,ATL,34,10920,CDG,427,19790,DL,1,Passengers,20655,0,20655
2016,1,10397,ATL,34,11164,CTG,327,19790,DL,1,Passengers,2688,0,2688
2016,1,10397,ATL,34,11032,CUN,148,19790,DL,1,Passengers,54969,0,54969
2016,1,10397,ATL,34,11032,CUN,148,19393,WN,1,Passengers,7103,0,7103
2016,1,10397,ATL,34,11244,CZM,148,19790,DL,1,Passengers,7314,0,7314
2016,1,10397,ATL,34,11244,CZM,148,20366,EV,1,Passengers,418,0,418
2016,1,10397,ATL,34,11444,DUS,429,19790,DL,1,Passengers,5526,0,5526
2016,1,10397,ATL,34,11455,DXB,678,19790,DL,1,Passengers,8371,0,8371
2016,1,10397,ATL,34,11534,ELH,204,20366,EV,1,Passengers,861,0,861
2016,1,10397,ATL,34,11625,EZE,303,19790,DL,1,Passengers,14102,0,14102
2016,1,10397,ATL,34,11651,FCO,450,19790,DL,1,Passengers,10563,0,10563
2016,1,10397,ATL,34,11731,FPO,204,19790,DL,1,Passengers,975,0,975
2016,1,10397,ATL,34,11731,FPO,204,20366,EV,1,Passengers,2558,0,2558
2016,1,10397,ATL,34,11760,FRA,429,19790,DL,1,Passengers,11823,0,11823
2016,1,10397,ATL,34,11760,FRA,429,19554,LH,0,Passengers,10834,0,10834
2016,1,10397,ATL,34,11868,GCM,233,19790,DL,1,Passengers,9597,0,9597
2016,1,10397,ATL,34,11868,GCM,233,20366,EV,1,Passengers,421,0,421
2016,1,10397,ATL,34,11874,GDL,148,19790,DL,1,Passengers,10394,0,10394
2016,1,10397,ATL,34,11907,GGT,204,19790,DL,1,Passengers,1103,0,1103
